time,src,lvl,data
2025-10-11 08:59:51,FakeBCI,SIM,"{""attention"": 0.21338911475665467, ""relaxation"": 0.49190049693653415, ""intent"": 0.831004269287229}"
2025-10-11 08:59:51,NRPI,TRACE,"{""sample"": {""attention"": 0.21338911475665467, ""relaxation"": 0.49190049693653415, ""intent"": 0.831004269287229}, ""ri"": 0.5792284361846195}"
2025-10-11 08:59:51,Decoder,INFO,"{""ri"": 0.5792284361846195, ""intent"": ""greet""}"
2025-10-11 08:59:51,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 08:59:51,UCG,INFO,"{""energy"": 0.28961421809230975, ""action"": ""ALLOW""}"
2025-10-11 08:59:51,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
2025-10-11 08:59:57,OUTPUT,TEXT,"{""text"": ""Hello there, friend."", ""state"": {""lights"": false}}"
2025-10-11 08:59:58,FakeBCI,SIM,"{""attention"": 0.9214107031268385, ""relaxation"": 0.8645757314291931, ""intent"": 0.8912119477789104}"
2025-10-11 08:59:58,NRPI,TRACE,"{""sample"": {""attention"": 0.9214107031268385, ""relaxation"": 0.8645757314291931, ""intent"": 0.8912119477789104}, ""ri"": 0.5739733088704607}"
2025-10-11 08:59:58,Decoder,INFO,"{""ri"": 0.5739733088704607, ""intent"": ""greet""}"
2025-10-11 08:59:58,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 08:59:58,UCG,INFO,"{""energy"": 0.28698665443523036, ""action"": ""ALLOW""}"
2025-10-11 08:59:58,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
2025-10-11 09:00:02,OUTPUT,TEXT,"{""text"": ""Hello there, friend."", ""state"": {""lights"": false}}"
2025-10-11 09:00:03,FakeBCI,SIM,"{""attention"": 0.3080163249994974, ""relaxation"": 0.0594693214175257, ""intent"": 0.7857445869464393}"
2025-10-11 09:00:03,NRPI,TRACE,"{""sample"": {""attention"": 0.3080163249994974, ""relaxation"": 0.0594693214175257, ""intent"": 0.7857445869464393}, ""ri"": 0.3326902682530466}"
2025-10-11 09:00:03,Decoder,INFO,"{""ri"": 0.3326902682530466, ""intent"": ""idle""}"
2025-10-11 09:00:03,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:00:03,UCG,INFO,"{""energy"": 0.1663451341265233, ""action"": ""ALLOW""}"
2025-10-11 09:00:03,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:00:04,FakeBCI,SIM,"{""attention"": 0.989235373853248, ""relaxation"": 0.6330831561478854, ""intent"": 0.1580417115629622}"
2025-10-11 09:00:04,NRPI,TRACE,"{""sample"": {""attention"": 0.989235373853248, ""relaxation"": 0.6330831561478854, ""intent"": 0.1580417115629622}, ""ri"": 0.4252393363221795}"
2025-10-11 09:00:04,Decoder,INFO,"{""ri"": 0.4252393363221795, ""intent"": ""idle""}"
2025-10-11 09:00:04,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:00:04,UCG,INFO,"{""energy"": 0.21261966816108974, ""action"": ""ALLOW""}"
2025-10-11 09:00:04,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:00:05,FakeBCI,SIM,"{""attention"": 0.9008792527755042, ""relaxation"": 0.18066302264261047, ""intent"": 0.13317166043710027}"
2025-10-11 09:00:05,NRPI,TRACE,"{""sample"": {""attention"": 0.9008792527755042, ""relaxation"": 0.18066302264261047, ""intent"": 0.13317166043710027}, ""ri"": 0.29966509304614763}"
2025-10-11 09:00:05,Decoder,INFO,"{""ri"": 0.29966509304614763, ""intent"": ""idle""}"
2025-10-11 09:00:05,RahulAI,DEBUG,"{""intent"": ""idle"", ""text"": """"}"
2025-10-11 09:00:05,UCG,INFO,"{""energy"": 0.14983254652307382, ""action"": ""ALLOW""}"
2025-10-11 09:00:05,Spandan,INFO,"{""intent"": ""idle"", ""state"": {""lights"": false}}"
2025-10-11 09:00:06,FakeBCI,SIM,"{""attention"": 0.8184956242472066, ""relaxation"": 0.4170582024802437, ""intent"": 0.7241924162197693}"
2025-10-11 09:00:06,NRPI,TRACE,"{""sample"": {""attention"": 0.8184956242472066, ""relaxation"": 0.4170582024802437, ""intent"": 0.7241924162197693}, ""ri"": 0.698719207645031}"
2025-10-11 09:00:06,Decoder,INFO,"{""ri"": 0.698719207645031, ""intent"": ""greet""}"
2025-10-11 09:00:06,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 09:00:06,UCG,INFO,"{""energy"": 0.3493596038225155, ""action"": ""ALLOW""}"
2025-10-11 09:00:06,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
2025-10-11 09:00:09,OUTPUT,TEXT,"{""text"": ""Hello there, friend."", ""state"": {""lights"": false}}"
2025-10-11 09:00:10,FakeBCI,SIM,"{""attention"": 0.9134342354367518, ""relaxation"": 0.30339159508305547, ""intent"": 0.5985818842046783}"
2025-10-11 09:00:10,NRPI,TRACE,"{""sample"": {""attention"": 0.9134342354367518, ""relaxation"": 0.30339159508305547, ""intent"": 0.5985818842046783}, ""ri"": 0.5820755478078117}"
2025-10-11 09:00:10,Decoder,INFO,"{""ri"": 0.5820755478078117, ""intent"": ""greet""}"
2025-10-11 09:00:10,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 09:00:10,UCG,INFO,"{""energy"": 0.29103777390390584, ""action"": ""ALLOW""}"
2025-10-11 09:00:10,Spandan,INFO,"{""intent"": ""greet"", ""state"": {""lights"": false}}"
2025-10-11 09:00:14,OUTPUT,TEXT,"{""text"": ""Hello there, friend."", ""state"": {""lights"": false}}"
2025-10-11 09:00:15,FakeBCI,SIM,"{""attention"": 0.6162351919779279, ""relaxation"": 0.6069332077061204, ""intent"": 0.72394359279891}"
2025-10-11 09:00:15,NRPI,TRACE,"{""sample"": {""attention"": 0.6162351919779279, ""relaxation"": 0.6069332077061204, ""intent"": 0.72394359279891}, ""ri"": 0.6080536638129099}"
2025-10-11 09:00:15,Decoder,INFO,"{""ri"": 0.6080536638129099, ""intent"": ""greet""}"
2025-10-11 09:00:15,RahulAI,DEBUG,"{""intent"": ""greet"", ""text"": ""Hello there, friend.""}"
2025-10-11 09:00:15,UCG,INFO,"{""energy"": 0.30402683190645496, ""action"": ""ALLOW""}"
